Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1981,17.70007585,0.041666667,0.221852497,0.806076122,0,0.052088985,0.000542594,0.011004785,1.041666667,0,1.11204792,2.262631354,1.486517388,3.019388554,1.017770228,2.9,0.8,0.406442043,1.652611452,0.867768595
1982,16.50624803,0.041666667,0.280401052,0.133578237,0,0.052088985,0.000542594,0.01539075,0.520833333,0,1.11204792,2.253797399,1.460982604,3.03477621,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1983,16.38061887,0.041666667,0.108715815,0.049576727,0,0.04156267,0.009983722,0.01539075,0.625,0,1.11204792,2.207896505,1.503258239,3.020927533,1.017770228,2.9,0.8,0.406442043,1.652611452,0.867768595
1984,16.44867137,0.041666667,0.013240645,0.047438848,0,0.052088985,0.000542594,0.01539075,0.729166667,0,1.11204792,2.210502419,1.464199404,3.03970217,1.017770228,2.9,0.8,0.406442043,1.730703432,0.867768595
1985,16.36559724,0.041666667,0.006315687,0.098282636,0,0.04156267,0.009983722,0.01539075,0.625,0,1.11204792,2.331261421,1.479029841,3.021417614,1.017770228,2.8,0.8,0.406442043,1.691657442,0.867768595
1986,16.33476595,0.041666667,0.09702716,0.006979438,0,0.052088985,0.000542594,0.01539075,0.520833333,0,1.11204792,2.305227149,1.451180243,3.070051424,1.017770228,2.8,0.8,0.406442043,1.769749421,0.867768595
1987,16.77491729,0.041666667,0.106527315,0.595532598,0,0.04156267,0.009983722,0.01539075,0.520833333,0,1.11204792,2.24315746,1.470130914,3.056987644,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1988,16.51375214,0.041666667,0.015366737,0.207087843,0,0.04156267,0.009983722,0.01539075,0.625,0,1.11204792,2.255258619,1.460788099,3.021808652,1.017770228,2.9,0.8,0.406442043,1.7158096,0.867768595
1989,16.05094923,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.062525827,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1990,16.03146353,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.043040135,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1991,16.0278262,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.039402804,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1992,16.01910554,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.030682139,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1993,16.05094923,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.062525827,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1994,16.02274287,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.03431947,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1995,16.02274287,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.03431947,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1996,16.02456533,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.036141928,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1997,16.02274287,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.03431947,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1998,16.02274287,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.03431947,1.017770228,2.8,0.8,0.406442043,1.708161417,0.867768595
1999,16.03054075,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.027970979,1.031916599,2.8,0.8,0.406442043,1.708161417,0.867768595
2000,16.56020677,0.041666667,0.04258171,0.408055801,0,0.04156267,0.009983722,0.01539075,0.520833333,0,1.11204792,2.246636098,1.444488031,3.036104036,1.031916599,2.8,0.8,0.406442043,1.734728791,0.867768595
2001,16.52927467,0.041666667,0.04258171,0.408055801,0,0.04156267,0.009983722,0.01539075,0.520833333,0,1.11204792,2.246636098,1.444488031,3.005171937,1.031916599,2.8,0.8,0.406442043,1.734728791,0.867768595
2002,16.52629482,0.041666667,0.04258171,0.408055801,0,0.04156267,0.009983722,0.01539075,0.520833333,0,1.11204792,2.246636098,1.444488031,3.002192092,1.031916599,2.8,0.8,0.406442043,1.734728791,0.867768595
2003,16.03733595,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.034766178,1.031916599,2.8,0.8,0.406442043,1.708161417,0.867768595
2004,16.03733595,0.041666667,0.015366737,0.006979438,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.283455451,1.445161096,3.034766178,1.031916599,2.8,0.8,0.406442043,1.708161417,0.867768595
2005,16.08941706,0.042105263,0.015366737,0.006195901,0,0.047049792,0.0044966,0.01539075,0.416666667,0,1.06883457,2.260168689,1.43165726,3.046466476,1.013605146,2.8,0.8,0.421915076,1.790407225,0.909090909
2006,16.00566175,0.042105263,0.015366737,0.006195901,0,0.047049792,0.0044966,0.01539075,0.3125,0,1.06883457,2.260168689,1.43165726,3.071159371,1.009323606,2.8,0.8,0.421915076,1.790407225,0.909090909
2007,16.12822764,0.0625,0.121331165,0.042554009,0,0.031036354,0.020510038,0.011004785,0.416666667,0,1.11204792,2.293149516,1.446464336,3.034766178,1.031916599,2.8,0.8,0.406442043,1.630069437,0.867768595
2008,16.19533197,0.042105263,0.015366737,0.006195901,0,0.047049792,0.0044966,0.01539075,0.520833333,0,1.06883457,2.260168689,1.43165726,3.052496257,1.009323606,2.8,0.8,0.421915076,1.790407225,0.909090909
2009,16.72524751,0.042105263,0.122343336,0.174172571,0,0.036411494,0.015134898,0.01539075,0.833333333,0,1.126628575,2.22274404,1.485734322,3.111979928,1.020451291,2.8,0.8,0.421915076,1.587811725,0.909090909
